recipe_tag	coefficient
bias	0.4145650541458185
alfredo	0.11776252617261565
almond	0.005163563309517145
american	-0.004139171421429459
appetizer	-0.029790699650741655
appetizers	-0.018681863389763423
apple	0.014798406635473847
asiancuisine	0.0121847930714736
asparagus	0.061568153495260264
avocado	0.10881343485217132
bacon	0.0092973578317029
baked	0.013460247695119755
bakeddishes	0.018007677289883693
bakery	0.0025138083428517793
baking	0.019170641551220342
beans	-0.029101576133797716
beef	0.14697786970356552
bellpeppers	0.02395606334285069
berries	0.004468956338511258
blackbeans	0.02395606334285069
blackvinegar	-0.030569506553941698
blueberry	0.00205199815968464
boiledeggs	-0.04075073551182348
bokchoy	-0.04075073551182348
braided	-0.002450666669378343
bread	-0.009018324671023092
breaded	0.038617197220007705
breakfast	0.04894504740709465
breakfastpastry	0.008538068141485186
brioche	-0.010647990048076624
broiling	-0.03547067838504491
brownies	0.005668139853176695
brownsugar	-0.0007556900243596402
brunch	-0.0023094874369893343
burger	0.06706394947939709
burritos	0.00515363179232721
buttery	0.014587037208465888
cake	0.004308045418049546
carrots	-0.04075073551182348
casserole	0.018263237520312704
celebration	0.029891392987637596
cheese	-0.004204144222922701
cheesy	0.1246960721179286
cherry	0.010906346875842757
chicken	0.19029438007799487
chickpeas	0.06706394947939709
chilioil	0.0075445239433341894
chilipowder	0.02395606334285069
chinese	0.02398990241962693
chinesecookingwine	0.03811403049727589
chinesecuisine	0.05004854530604602
chocolate	0.008193188036074557
chocolatechip	0.0048141207389097865
chocolatecroissant	0.008538068141485186
christmas	0.008214137278319168
cilantro	-0.003009373710936812
cinnamon	0.004133951904933989
citrus	0.004107068639159576
classic	0.0059787411666674785
cloves	0.002955744343086165
cobbler	0.030106372816045585
cocoapowder	0.004232124713826807
coffee	0.001956065085291267
cold	0.02398990241962693
coldnoodles	0.025297190091665624
comfortfood	-0.025736961697974348
condiment	-0.01611319744749281
cookies	0.013050070974299506
corn	0.029891392987637596
cranberry	0.005723368228897698
creamcheese	0.0011192394567028556
creamy	-0.03622914746050573
crisp	0.0019678613904703744
crispy	0.15135568710515582
croissant	0.001956065085291267
croissants	-0.005782271892226291
crumble	0.012437122695080174
crust	0.002955744343086165
cucumber	0.025297190091665624
cumin	0.02395606334285069
cupcakes	0.002568347461808824
custard	0.0024168264047005955
custardy	-0.028597785163404246
customizable	-0.0003415904459746789
danish	0.0011192394567028556
dashibroth	0.02110625208900316
dates	0.013956010003775174
decadent	0.004183595022533909
dessert	0.03842242854132511
dinner	-0.01772192877449756
dip	-0.01372538120251338
donuts	-0.004961438650409182
easterneuropean	-0.002450666669378343
easy	0.011204874681222082
easydinner	-0.0267614026311003
egg	0.007849171209576662
eggs	0.019503540580123276
eggwhites	0.007032520885521722
fajitaseasoning	0.026875720808370814
fall	0.010107583267325852
familyfriendly	-0.008498165110787596
fastfood	0.038617197220007705
fetacheese	0.015737441598087168
filling	0.010534265942932008
fingerfood	0.07392274447129508
flaky	0.009445253969653056
french	0.010192208825480642
frenchcuisine	0.010139308650857534
frenchpastry	0.013007941569628232
fresh	-0.02152101700532781
fried	0.051807344907887465
friedfood	-0.02132719617192477
friedrice	0.010875856388906686
fries	-0.1366886941198526
frosting	0.0068763928798583705
fruit	-0.0024794005295500996
fudgy	0.006634261691912252
gamedayfood	-0.09309463698402201
ganache	7.592070422273947e-05
garlic	0.04722311735877873
ginger	0.03811403049727589
glutenfree	0.04053884291529004
goldenbrown	-0.0003042322091539333
greenbeans	0.04701475058855927
greenonion	0.009109086861502842
greenonions	-0.03559710371949627
grill	0.06706394947939709
grilled	-0.10318371831015419
grilling	-0.03547067838504491
groundbeef	0.06872710907698304
gruyere	0.009173226622931073
gruyerecheese	-0.02383516278407198
guacamole	0.021730208017423782
hamandcheese	0.0011192394567028556
hamburger	-0.060732596783415325
handheld	-0.0003415904459746789
handtorndough	-0.08988690784923917
hawaii	-0.060732596783415325
hawaiian	-0.0504326053192374
healthy	0.05168105627907543
herbs	0.029437428553699643
holiday	0.03810553026595677
homemade	-0.0025394573615349974
indulgent	0.002568347461808824
italian	0.0023513064918361526
italiancuisine	0.11776252617261565
jalapenos	-0.1366886941198526
japanesecuisine	0.026746899196143356
juicy	0.038815745413853034
ketchup	-0.060732596783415325
keto	-0.0018492295449844512
kidfriendly	0.07392274447129508
koreancuisine	-0.08988690784923917
laminateddough	0.0025138083428517793
lasagna	-0.055551739833213765
lattice	0.002955744343086165
lettuce	0.09773493785418612
lime	-0.0411234042082127
loadednachos	0.04359405713583058
lowcarb	-0.0018492295449844512
lunch	-0.01772192877449756
macandcheese	-0.007631362297101481
maple	-0.004961438650409182
maplesyrup	0.008615866675695655
masa	0.029891392987637596
mayonnaise	-0.060732596783415325
meal	0.038617197220007705
mealprep	0.002499621868062511
meat	-0.026339383667601284
meatsauce	-0.010659218422177296
mexican	0.06472057656795152
mexicancuisine	0.028219036843206514
mexicanfood	0.04359405713583058
middleeastern	0.034381013684285276
miso	-0.04075073551182348
muffins	0.002499621868062511
mushroom	-0.21851534537521144
mushrooms	-0.04075073551182348
nachos	-0.018518815324829796
noodles	0.03981177848464891
noodlesoup	-0.04075073551182348
nori	-0.0504326053192374
numbing	0.1187320823572636
nutmeg	0.002200054318726525
oat	0.001220167373483465
oats	0.0017350790250618296
onion	-0.0036781474978150805
onions	0.0508317841512215
onthego	-0.0504326053192374
oven	0.008538068141485186
oysters	-0.048909612640532264
pacificislands	-0.060732596783415325
pancakes	0.008615866675695655
parmesan	0.009173226622931073
partyfood	0.08494809014530508
pasta	0.12314168878952761
pastasauce	-0.010659218422177296
pastry	-0.003930087391499559
pastrycrust	0.0047626223793322655
peach	0.012521397157238372
peanutbutter	0.008312408019208259
peanutdressing	-0.004003310158689182
peanuts	-0.030569506553941698
peppers	0.026875720808370814
pickledvegetables	0.05274650100956029
pie	-0.0011834270783432936
piecrust	0.015737441598087168
pork	-0.030569506553941698
porkbelly	-0.04075073551182348
potatoes	0.00515363179232721
protein	0.002499621868062511
puffpastry	0.008538068141485186
quiche	-0.021955851926484155
quick	-0.013932552937934332
ramen	-0.04075073551182348
refreshing	0.0037109364229049348
relish	0.004107068639159576
rhubarb	0.0037109364229049348
rice	-0.0504326053192374
ricevinegar	0.009109086861502842
rich	0.004183595022533909
ricotta	0.01660329420597778
salad	0.07886957942229775
salsa	0.11296610101645274
salty	-0.007631362297101481
sandwich	0.007849171209576662
sauce	0.004107068639159592
savory	0.031255811022222815
scallions	0.0075445239433341894
scallops	-0.04245112152673886
seafood	-0.2167183204015552
sesame	0.02398990241962693
sesameoil	0.009109086861502842
sesameseeds	0.009109086861502842
shrimp	-0.03547067838504491
sichuancuisine	0.0881625758033219
sichuanpeppercorns	0.0075445239433341894
sidedish	0.012096658154335735
sidedishes	0.04701475058855927
skewers	-0.03547067838504491
smoky	0.04206023950565824
snack	-0.0008042201277411176
snacks	-0.08967394353129332
sobanoodles	0.0121847930714736
soft	-0.0003042322091539333
souffle	0.01330591942610986
soup	-0.04349552523027549
sourcream	0.005359660188955735
southern	0.01506085451877337
southerncuisine	-0.048909612640532264
soysauce	-0.013221268318079765
spam	-0.11116520210265272
spices	0.029437428553699643
spicy	0.020277768964008906
spicyfood	0.027582416468607495
spinach	0.03262354430305127
spring	0.029763148114041803
steamed	0.029891392987637596
stirfry	0.08061805185998772
strawberry	0.0037109364229049348
streetfood	0.0718262703946829
stuffedpeppers	0.027582416468607495
summer	0.02887669933654567
sushi	-0.0504326053192374
sweet	0.004948032477142981
sweetandsalty	0.008235950235389719
sweetandsavory	0.003654428025286474
sweettreat	0.010494133226776453
taco	0.05395832844780674
tacos	0.03744525671039762
tangy	0.011925073701224103
tart	0.004107068639159592
tea	0.001956065085291267
tempura	0.02110625208900316
tender	0.038312965010853774
texmex	0.026875720808370814
thanksgiving	0.008214137278319168
toast	0.007849171209576662
tomato	0.01884130842832947
tomatoes	-0.044706717677362826
tomatosauce	0.1407982563268516
tortilla	0.02395606334285069
tortillabowl	0.05395832844780674
tortillachips	0.028914561133180187
tortillas	0.03202935260069802
traditional	0.029891392987637596
twisted	-0.002450666669378343
udonnoodles	0.02110625208900316
vanilla	0.007032520885521722
vanillaicecream	0.0017350790250618296
vegan	0.025778010178386032
vegetables	-0.04924790334629068
vegetarian	-0.050336442308975174
warm	0.008538068141485186
whippedcream	0.0017350790250618296
winter	0.010107583267325852
yeastdough	-0.002450666669378343
